Center_ID,Center_Name,District,Medicine_Name,Required_Monthly_Qty,Current_Stock_Qty,Delivery_Delay_Days,Last_Restock_Date
PHC_101,Health Center 1,West Tripura,Paracetamol 500mg,1818,613,2,2026-08-03
PHC_102,Health Center 2,South Tripura,Amlodipine 5mg,509,1435,15,2026-07-14
PHC_103,Health Center 3,West Tripura,Azithromycin 500mg,1164,115,0,2026-08-12
PHC_104,Health Center 4,South Tripura,Amoxicillin 250mg,1334,1282,0,2026-07-13
PHC_105,Health Center 5,South Tripura,Amlodipine 5mg,1630,1486,12,2026-07-22
PHC_106,Health Center 6,South Tripura,Metformin 500mg,1506,619,,2026-08-17
PHC_107,Health Center 7,South Tripura,Amlodipine 5mg,1165,746,5,2026-08-08
PHC_108,Health Center 8,South Tripura,ORS Packets,509,239,8,2026-08-11
PHC_109,Health Center 9,Dhalai,ORS Packets,1536,591,,2026-08-15
PHC_110,Health Center 10,Unakoti,Azithromycin 500mg,555,825,0,2026-07-13
PHC_111,Health Center 11,Dhalai,Amlodipine 5mg,1566,790,12,2026-08-05
PHC_112,Health Center 12,West Tripura,Paracetamol 500mg,1654,516,,2026-07-30
PHC_113,Health Center 13,West Tripura,Amoxicillin 250mg,506,828,5,2026-07-19
PHC_114,Health Center 14,Dhalai,Amoxicillin 250mg,1058,777,2,2026-07-31
PHC_115,Health Center 15,West Tripura,Azithromycin 500mg,1600,,2,2026-07-14
PHC_116,Health Center 16,South Tripura,Amoxicillin 250mg,1246,827,5,2026-07-08
PHC_117,Health Center 17,Gomati,Amoxicillin 250mg,1702,714,,2026-08-14
PHC_118,Health Center 18,South Tripura,Paracetamol 500mg,1948,696,8,2026-07-31
PHC_119,Health Center 19,West Tripura,Amoxicillin 250mg,1461,1520,5,2026-08-04
PHC_120,Health Center 20,Unakoti,Metformin 500mg,1616,989,2,2026-08-01
PHC_121,Health Center 21,South Tripura,Amoxicillin 250mg,1825,1199,12,2026-08-01
PHC_122,Health Center 22,Gomati,Metformin 500mg,1495,867,5,2026-08-03
PHC_123,Health Center 23,South Tripura,Azithromycin 500mg,1310,236,,2026-08-14
PHC_124,Health Center 24,West Tripura,Amoxicillin 250mg,1585,377,,2026-07-21
PHC_125,Health Center 25,Gomati,Paracetamol 500mg,1088,831,12,2026-07-19
PHC_126,Health Center 26,Gomati,ORS Packets,1433,73,15,2026-08-10
PHC_127,Health Center 27,Gomati,ORS Packets,1874,1362,5,2026-08-10
PHC_128,Health Center 28,Dhalai,Metformin 500mg,623,979,0,2026-08-01
PHC_129,Health Center 29,Gomati,Amoxicillin 250mg,1339,267,,2026-07-08
PHC_130,Health Center 30,Dhalai,Amlodipine 5mg,1339,,12,2026-08-05
PHC_131,Health Center 31,South Tripura,ORS Packets,1861,380,12,2026-07-15
PHC_132,Health Center 32,West Tripura,Azithromycin 500mg,963,1050,0,2026-08-10
PHC_133,Health Center 33,Dhalai,ORS Packets,790,168,2,2026-07-12
PHC_134,Health Center 34,West Tripura,Paracetamol 500mg,1798,1045,,2026-08-13
PHC_135,Health Center 35,Gomati,Amoxicillin 250mg,562,1401,8,2026-07-13
PHC_136,Health Center 36,South Tripura,ORS Packets,1380,1292,8,2026-08-04
PHC_137,Health Center 37,Gomati,Amlodipine 5mg,1712,461,15,2026-07-29
PHC_138,Health Center 38,Unakoti,Amlodipine 5mg,1630,814,8,2026-07-15
PHC_139,Health Center 39,Unakoti,Paracetamol 500mg,807,510,0,2026-07-27
PHC_140,Health Center 40,West Tripura,Azithromycin 500mg,1434,521,12,2026-08-03
PHC_141,Health Center 41,West Tripura,Paracetamol 500mg,1749,1342,0,2026-08-03
PHC_142,Health Center 42,West Tripura,Paracetamol 500mg,976,195,12,2026-08-02
PHC_143,Health Center 43,Dhalai,Amlodipine 5mg,1294,488,12,2026-08-09
